00010	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I {{c1::don't know}} how she stays so fit.	'm not knowing;wasn't knowing;don't know;doesn't know
05270	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	Speed cameras have proved {{c1::(to be)}} highly effective in reducing road accidents along this road.	to be;(to be)
05280	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	Although the bird hit the window hard, it still appeared {{c1::to be}} alive.	to be;(to be)
05290	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	Mr Khan's problem turned out {{c1::(to be)}} more serious than he had first thought.	to be;(to be)
05300	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	She appears {{c1::to be}} running the company very effectively.	to be;(to be)
05310	Unit 21: Linking verbs: <i>be</i>, <i>appear</i>, <i>seem</i>; <i>become</i>, <i>get</i>, etc.	If the sentence is incorrect, put <i>to be</i> in the gap. If the sentence is correct with or without <i>to be</i>, put (<i>to be</i>) in the gap.	Mr Robinson seems {{c1::(to be)}} a very kind man.	to be;(to be)
05320	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone taught this card trick to me. <br />{{c1::I was taught this card trick. / This card trick was taught to me.}}	choiceA;ChoiceB
05330	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone has mentioned the problem to her. {{c1::The problem has been mentioned to her.}}	choiceA;ChoiceB
05340	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone has demonstrated the procedure to us. {{c1::The procedure has been demonstrated to us.}}	choiceA;ChoiceB
05350	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone read the instructions to the class. {{c1::The class was read the instructions. / The instructions were read to the class.}}	choiceA;ChoiceB
05360	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone has given an award to Richard. {{c1::Richard has been given an award. / An award has been given to Richard.}}	choiceA;ChoiceB
05370	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone announced the news to the waiting crowds. {{c1::The news was announced to the waiting crowds.}}	choiceA;ChoiceB
05380	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone described the robbers to the police. {{c1::The robbers were described to the police.}}	choiceA;ChoiceB
05390	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone told this stupid story to me. {{c1::I was told this stupid story. / This stupid story was told to me.}}	choiceA;ChoiceB
05400	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone handed a glass of water to me. {{c1::I was handed a glass of water. / A glass of water was handed to me.}}	choiceA;ChoiceB
05410	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone suggested the possibility to me. {{c1::The possibility was suggested to me.}}	choiceA;ChoiceB
05420	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone has reported the theft to the security guard. {{c1::The theft has been reported to the security guard.}}	choiceA;ChoiceB
05430	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence. Look carefully at the tense in the sentences given.	Someone threw a rope to me. {{c1::A rope was thrown to me. / I was thrown a rope.}}	choiceA;ChoiceB
05440	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	My grandparents disapproved of my new hairstyle. My new hairstyle {{c1::was disapproved of by my grandparents}}.	choiceA;ChoiceB
05450	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	My daughter takes after her father. Her father {{c1::No passive}}	choiceA;ChoiceB
05460	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	The bank is helping me set up the business. I {{c1::am being helped to set up the business by the bank}}.	choiceA;ChoiceB
05470	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	Dr Wills carried out the operation. The operation {{c1::was carried out by Dr Wills}}.	choiceA;ChoiceB
05480	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	She let out a cry of pain as she fell. A cry of pain {{c1::No passive}}.	choiceA;ChoiceB
05490	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	The police have put the accident down to brake failure. The accident {{c1::has been put down to brake failure. / has been put down to brake failure by the police}}.	choiceA;ChoiceB
05500	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	I brushed up on my Greek before my trip to Athens. My Greek {{c1::No passive}}.	choiceA;ChoiceB
05510	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	The authorities let him out of prison early. He {{c1::was let out of prison early / was let out of prison early by the authorities}}.	choiceA;ChoiceB
05520	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	Other students heard Liam swear at his teacher. Liam {{c1::was heard to swear at his teacher / was heard to swear at his teacher by other students}}.	choiceA;ChoiceB
05530	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	We have come up against many difficulties in building the bridge. Many difficulties {{c1::No passive}}.	choiceA;ChoiceB
05540	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	The fire brigade quickly put out the blaze. The blaze {{c1::was quickly put out by the fire brigade}}.	choiceA;ChoiceB
05550	Unit 22: Forming passive sentences 1	Type a corresponding passive sentence beginning with the words given. If no passive is possible, type <i>No passive</i>.	He put out his hand to take the mobile phone. His hand {{c1::No passive}}.	choiceA;ChoiceB
05560	Unit 23: Forming passive sentences 2: verb + -<i>ing</i> or <i>to-infinitive</i>	Complete the sentences with the phrases from the box. You will need only half the phrases.	The painting {{c1::was shown to be}} an early work by Picasso.	was shown to be;was shown being
05570	Unit 23: Forming passive sentences 2: verb + -<i>ing</i> or <i>to-infinitive</i>	Complete the sentences with the phrases from the box. You will need only half the phrases.	Students {{c1::were allowed to enter}} the exhibition for free.	were allowed entering;were allowed to enter
05580	Unit 23: Forming passive sentences 2: verb + -<i>ing</i> or <i>to-infinitive</i>	Complete the sentences with the phrases from the box. You will need only half the phrases.	Before I could start the job in Warsaw, I {{c1::was required to learn}} Polish.	were asked providing;was asked to provide;was expected raising;was expected to raise;was found to wander;was found wandering;was required learning;was required to learn;was seen to try;was seen trying;was understood owing;was understood to owe;were asked providing;were heard approaching;were heard to approach;were kept to wait;were kept waiting;were sent crashing;were sent to crash;were told leaving;were told to leave
05590	Unit 23: Forming passive sentences 2: verb + -<i>ing</i> or <i>to-infinitive</i>	Complete the sentences with the phrases from the box. You will need only half the phrases.	Mr Johnson {{c1::was understood to owe}} thousands of pounds when he disappeared.	were asked providing;was asked to provide;was expected raising;was expected to raise;was found to wander;was found wandering;was required learning;was required to learn;was seen to try;was seen trying;was understood owing;was understood to owe;were asked providing;were heard approaching;were heard to approach;were kept to wait;were kept waiting;were sent crashing;were sent to crash;were told leaving;were told to leave
05600	Unit 23: Forming passive sentences 2: verb + -<i>ing</i> or <i>to-infinitive</i>	Complete the sentences with the phrases from the box. You will need only half the phrases.	Trees {{c1::were sent crashing}} to the ground by the fierce storm.	were asked providing;was asked to provide;was expected raising;was expected to raise;was found to wander;was found wandering;was required learning;was required to learn;was seen to try;was seen trying;was understood owing;was understood to owe;were asked providing;were heard approaching;were heard to approach;were kept to wait;were kept waiting;were sent crashing;were sent to crash;were told leaving;were told to leave
05610	Unit 23: Forming passive sentences 2: verb + -<i>ing</i> or <i>to-infinitive</i>	Complete the sentences with the phrases from the box. You will need only half the phrases.	We {{c1::were kept waiting}} outside the solicitor's office for over two hours.	were asked providing;was asked to provide;was expected raising;was expected to raise;was found to wander;was found wandering;was required learning;was required to learn;was seen to try;was seen trying;was understood owing;was understood to owe;were asked providing;were heard approaching;were heard to approach;were kept to wait;were kept waiting;were sent crashing;were sent to crash;were told leaving;were told to leave
05620	Unit 23: Forming passive sentences 2: verb + -<i>ing</i> or <i>to-infinitive</i>	Complete the sentences with the phrases from the box. You will need only half the phrases.	When I opened the bank account, I {{c1::was asked to provide}} proof of my identity.	were asked providing;was asked to provide;was expected raising;was expected to raise;was found to wander;was found wandering;was required learning;was required to learn;was seen to try;was seen trying;was understood owing;was understood to owe;were asked providing;were heard approaching;were heard to approach;were kept to wait;were kept waiting;were sent crashing;were sent to crash;were told leaving;were told to leave
